City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
60,Singaparna,ID,71.89,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
61,Maumere,ID,84.81,broken clouds,-8.6199,122.2111,Sylvia Hotel
64,Djenne,ML,81.18,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
65,Komsomolskiy,UZ,83.62,scattered clouds,40.4272,71.7189,Ikathouse
72,Yellowknife,CA,81.12,smoke,62.456,-114.3525,The Explorer Hotel
73,Xixiang,CN,85.3,broken clouds,35.1628,112.865,Sanmao Hotel Hotel
74,Craig,US,72.59,overcast clouds,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
77,Manta,EC,73.18,few clouds,-0.95,-80.7333,Balandra Hotel
81,Fukue,JP,86.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
83,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
86,Kavaratti,IN,82.02,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Alyangula,AU,82.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
90,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
93,Bonthe,SL,75.2,few clouds,7.5264,-12.505,Bonthe Holiday Village
97,Rozkishne,UA,80.82,broken clouds,48.5074,39.3004,Домино
103,Half Moon Bay,US,73.11,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
104,Acapulco,MX,81.61,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
108,Davila,PH,84.18,light rain,18.4726,120.5763,Blue Ridge Beach Resort
111,Yuanping,CN,78.49,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
113,Sao Filipe,CV,76.42,broken clouds,14.8961,-24.4956,Hotel Xaguate
114,Bengkulu,ID,84.0,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
117,Bustamante,MX,75.43,overcast clouds,26.5333,-100.5,Hotel Hacienda los Nogales
119,Longkou,CN,78.82,clear sky,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
123,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
125,Lugovoy,KZ,87.93,overcast clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
126,Maningrida,AU,86.4,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
127,Lagoa,PT,71.28,broken clouds,39.05,-27.9833,Casa Das Faias
128,Kavieng,PG,83.25,light rain,-2.5744,150.7967,Nusa Island Retreat
129,Lazaro Cardenas,MX,80.78,scattered clouds,17.9583,-102.2,quinta antigua
130,Cabedelo,BR,72.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
131,Kingaroy,AU,75.24,scattered clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
135,Khromtau,KZ,80.67,clear sky,50.2503,58.4347,Придорожный сервис Кең Дала
138,Belen,TR,73.54,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
142,Touros,BR,72.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
144,Tamugan,PH,87.24,overcast clouds,7.2308,125.3764,Heavenly Farms
145,Riverton,US,76.19,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
151,Itarema,BR,74.1,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
